 ;FR;PA80;swo;gyeli;bekwel;bekol;konzime;makaa;mpiemo;kwasio;njem;shiwa;BC (BLR3);Reconstr. Régionales (BLR 3);Reconstr. Mougiama, Hombert;;Mots que je pourrai ajouter;;
438. ;fourmi ;°súKÌ ;;;sûk / bɛ̀sûk  ;ʃûɡ / bòʃûɡ ;sûʔ / òsûʔ ;fúɡə̀ / òfúɡə̀;ʃūɡì ;fəˤ / bɔfəˤ ; ;fûʔ / bə̀fûʔ; ;*jeɡʊ ? (AR); ;;;;
439. ;fourmi sp ;°sɔ̀nV ;;sɔ̰̀(-kìndá) / basɔ̰̀-kìndá;sɔ̀n / ìsɔ̀n; ; ;ʃwàànə́ / mìʃwàànə́; ;swana / biswana ; ; ; ; ; ;gyeli : kìndá = 'sugar ant';;;
440. ;fourmi sp, termite sp ;°(N-)bV̀m ;;;b̥àm / ìb̥àm ; ;è-mpɔ̀m / mèmpɔ̀m ;mpòòm / ìmpòòm ; ; ; ; ; ; ; ;;;;
441. ;frère (Ego Fem) ;°(N-)°dóm(Ì)  ;ǹ-dòm / bə̀ndòm;;d̥ém / bɛ̀d̥ém ;ntúm ;ntʊ̂m / òntʊ̂m;ncûm / òncûm ;ntóm; ;ntʊ̂m; ;*dʊ́mè; ; ;;;;
442. ;frère, cousin ;°mí(j)Òŋ ;míâŋ / bə̀míâŋ;míyù / bamíyù; ;míjɔ̀ŋ / bòmíjɔ̀ŋ ;m-ɩ́ɔ̀ɔ́ / bɩ́ɔ̀ɔ́ ;míjòŋá / òmíjòŋá ; ;miuŋ / bɔmiuŋ ; ; ; ; ; ;;;;
443. ;frère/soeur aîné ;°tólÌ ;ǹ-tómbà / bàtómbà;n-túmbà / batúmbà;tél / bɛ̀tél ; ;tʊ́l / òtʊ́l; ;tōlī ; ;twɩ́l; ; ; ; ;;;;
444. ;frère/soeur cadet ;°(N)dɛ̀mbV́;sándòmbó / bə̀sándòmbó;ntɛ̀mbɔ́ / bantɛ̀mbɔ́;d̥jěb / bɛ̀d̥ěb ; ;ntwóm / òntwóm ;ntə̀mbú / òntə̀mbú;ntɛ̄mb;ndʰɛm / bɔndʰɛm ; ;ǹ-tə̀mbí / bə̀ntə̀mbí; ; ; ;;;;
445. ;frire, griller ;°ɟâŋ ;yáŋ;gyâ̰lɛ ; ;ɟâŋ ;è-jâŋ ;jâŋ ;à-ɟâŋ ;ɟaŋ ; ; ;*kánɡ ; ; ;;;;
446. ;froid ;°tèlà ;téyà;;ɛ̀-tèlà / mɛ̀tèlà ; ;è-tàlà ;tə̀là;tèlāā ; ;tálá ; ;*tàdad ; ; ;;;;
447. ;frotter ;°sóàlà ;sə́lə̀;sílɔ; ;ʃúlə̀ ;è-swóòlò ;ʃúlə̀ ; ;silɛ ;lè-swóólô ; ; ; ; ;;;;
448. ;fruit ;°bùmá ;ì-mvə̀má (ílì) / bìmvə̀má bílì;bvùmá / bebvùmá;bǔm / b̥ǔm ;bùmó / mpùmó ;b-ùmó / mpùmó ;bùmə́ / ìbùmə́;bùmɔ̄ ;bvuma / bibvum ;bùmó ;ɡvə́má / bìɡvə́má;*bùmá ; ; ;;;;
449. ;fuir ;°púndà ;;; ;fúndɔ̀ ; ;fə́ndə̀; ;kɛ-mpfundɛ ; ; ; ; ; ;;;;
450. ;fumée ;°ɟúlùK ;;;ì-ɡúlùk ; ;ɟúlùù / bìɟúlùù; ; ; ;ɟúlʊ̀ʊ̀; ; ; ; ;;;;
451. ;fumer ;°dùlà ;;;ɛ̀-dùld̥ɛ́lɛ̂k;dùlò ;è-dùlò ; ;à-dùlɔ̀ ; ; ; ; ; ; ;;;;
452. ;fusil ;°(N-)ɡálV̀;ŋ̀-ɡálì / màŋɡálì;;g̥ɛ̂l / bɛ̀g̥ɛ̂l;nkɔ́l / bònkɔ́l ;nkɛ̂l / ònkɛ̂l;nkɛ̂l / mə̀nkɛ̂l;nkālì ; ; ; ; ; ; ;;;;
453. ;garder 1 ;°bàKàlà ;bàʔàlə̀;báàlɛ; ; ;è-bàʔlè ;bàɡə̀lə̀;à-ɓàɡɔ̀lɔ̀; ;lè-bàʔlò ; ; ; ; ;;;;
454. ;garder 2 ;°komà ;;; ; ;è-kòmò ; ;à-kòmò ; ;lè-kùkwòm; ; ; ; ;;;;
455. ;gauche ;°ɟàlì ;;;pɛ̀-ɛ́mjɛ̀l; ;è-mjɛ̌l; ;à-mjàlī ;maɟal ;lè-mwɛ̌l;mə̀-ɟàlì;(*jàdɩ́) ; ; ;;;;
456. ;gecko ;°ɟáK ;ì-ɟáā / bìɟáā;; ;ɟìɟâɡ / bèɟìɟâɡ ;ɟá / bìɟá ; ;wjā ;japɛndɛ / biapɛndɛ ;ɟɩ́ɟâ; ; ; ; ;;;;
457. ;gémir ;°símbàlà ;sə́mbə̀là;;ʃím ;símə̀là ; ;címbə̀là;à-ncīmɔ̀ ;zimla ; ; ; ; ; ;;;;
458. ;gendre ;°ɟómV̀ ;ŋ̀-ɡúm (ŋɡwàndə̀) / bə̀ŋɡúm bə́ŋɡwàndə̀;;n-ɡómɔ̂n / bɛ̀ɡóbɔ̂n;nɟûm (sìlɔ̀) / bə̀nɟûm bə̀mə̀sìlɔ̀ ; ; ; ; ; ;ǹ-ɡúm (ímwánà) / bə̀nɡúmíbwánà;*dʊ́mè; ; ;;;;
459. ;génération 1 ;°kùlà ;;;ù-kùlà ;kùlà ;kûl / bìkûl ; ; ; ; ; ; ;*kʊ́dà (ABCR); ;;;;
460. ;génération 2 ;°ɟàKà ;;; ; ; ;ɟà / ìɟà ;ɟàɡà ; ;ɟùò ; ; ; ; ;;;;
461. ;genette servaline ;°(N-)sínɡà ;ǹ-sə́ŋ / mìnsə́ŋ;;ʃîŋ / mìʃîŋ ;ncínɡà / bèncínɡà ; ; ; ; ;síì ; ; ;*cínɡì (A) ;°-cìnɡì ;;;;
462. ;genou ;°bɔ́ŋ ;bwɔ́ŋ / màbwɔ́ŋ;le-bɔ̰́ / mabɔ̰́;ɛ̀-bóŋ / mɛ̀bóŋ ;bwóŋ ;è-bóó / mèbóó ;bwóŋ / mə̀bwóŋ;à-ɓɔ̄ɔ̄ŋ;bwɔŋ / mabwɔŋ ;lè-bóó ;bú / mə̀bú;*bónɡó ; ; ;;;;
463. ;gifle ;°bɛ́nɟ(Ò) ;m̀-bâmbèlì / mìmbə̀mbə̀láʔà;le-bándyì / mabándyì;bɛ̂z / b̥ɛ̂z ; ;bɛ̂h / mèmpɛ̂h;bónz / mə̀bónz; ; ;bɛ̂h; ; ; ; ;;;;
464. ;glisser 1 ;°ɟàndàlà ;;;ɛ̀-ɟàd ;ɟàndə̀là ; ; ; ;ɟandala ; ; ; ; ; ;;;;
465. ;glisser 2 ;°ɟɛ̀ndV̀ ;;gyɛ̀ndɔ̀; ;ɟɛ̀nd ; ; ; ;ɟɛndɛ (salɡa);lè-ɟjɛ̀n;ɟɛ̀ndə̀; ; ; ;;;;
466. ;gorge ;°(N-)ɡɔ̀nɡ ;ì-ɡɔ̂ŋ / bìɡɔ̂ŋ;ngɔ̰̀língɔ̰́lì / bengɔ̰̀língɔ̰́lì;g̥òŋòg̥óŋól /  ìg̥òŋòg̥ óŋól;nkwɔ̌mìn ;nkòòlʊ̀nkóòlʊ̀ / bìnkòòlʊ̀nkóòlʊ̀ ;n-kwómìnú / mìnkwómìnú ;n-kɔ̀nkɔ́ɔ́ŋlì;nɡwɔŋlinɡwɔli / binɡwɔŋli nɡwɔli ; ;ǹ-kwə̀ʔ (línkwə́ʔlì) / bìnkwə̀ʔlínkwə́ʔlì;*kòdò ; ; ;gyeli a également deux tons, comme le swo;;;
467. ;gorille ;°(N-)ɟìlÀ ;ndzìlə̀ / bə̀ndzìlə̀;ndzìɛ̀ / bandzìɛ̀;ɟ̥ìl / bɛ̀ɟ̥ìl; ;ncìlè / òncìlè ;ncì / òncì ;ncìlɔ̀ ; ;ncìlò ; ; ;*ɡìdà (AC) ;°n-ɡi ;;;;
468. ;goûter 1 ;°bóbàlÀ ;búʔùlə̀;bwɛ̀dɔ̀wɔ̀;ɛ̀-bóâl ; ;è-bóblò ; ;à-ɓóɔ́lɔ̀; ;lè-bwóblô ; ; ; ; ;;;;
469. ;goûter 2 ;°kV̀K_ ;;kìyɛlɛ; ;kàɡə̀lə̀ ; ;kàɡ ; ;kiɛˤlɛ ; ;kjə̀ʔ; ; ; ;;;;
470. ;goutte ;°tɔ́V́? ;twó / màtwó;le-tɔ́ / matɔ́;ɛ̀-tɔ́ / mɛ̀tɔ́ ; ;è-tó / mètó ;cwə́ / mə̀cwə́;à-tɔ̄ ; ;lè-tó ; ; ;*tóná (ACHL) ; ;gyeli : remarquer que pas de trace de la nasale de BLR3;;;
471. ;goutter ;°(N-)dÓbà ;;; ;ntóbà ;è-tɔ́bà ; ; ; ;lè-tɔ́bâ; ; ; ; ;;;;
472. ;graine ;°bùmá ;m̀-bāŋ / mìmbāŋ;m-bàngá / mimbàngá;bùm / b̥ùm ;bùmó (fwɛ́n) / mpùmó fwɛ́n ; ;búbùmə́ / mpúmpùmə́; ; ; ;bvə̀má;*bùmá ; ; ;Possible de faire un cognat avec swo et gyeli;;;
473. ;graisse ;°ɡɔ́ŋ(à) ;wɔ̄ŋ / màwɔ̄ŋ;ma-wâ̰;mɛ̀-wɔ́ɔ̀ ;wáŋ / mòwáŋ ;mè-ɡʊ́à ;wóŋ / mə̀wóŋ;à-wɔ̂ŋ;ma-wǎŋ ; ;mə̀-wô; ;*pónɡò (ABC); ;;;;
474. ;grand ;°nénéné ;;nɛ́nɛ̀; ;nə́né ;nɩ́nɩ́ɩ́  ; ; ; ;nɩ́nɩ́ɩ́;nə́-nə́ní;*nénè ; ; ;;;;
475. ;grand vent ;°(N)ɡú(ŋ)Ò ;;;g̥úù / ìg̥úù; ;nkúò / ònkúò ;nkwô / ònkwô; ; ; ; ; ; ; ;;;;
476. ;grand-mère ;°(a)ja ;;;nàjé ;ájô (mpám); ;jàâ / òjàâ ;āɛ̄ ; ;á-jà ; ; ; ; ;;;;
477. ;grand-père ;°(N-)bámbV ;ì-mbámbə̄ / bìmbámbə̄;mbámbɛ́ / bambámbɛ́;séb̥áb / bɛ̀séb̥áb ;dá (mpám) / bòdá bómpám ; ; ; ;bɔmbambɔ (bɔ bunuŋ); ;m̀-pámbí / bə̀mpámbí; ; ; ;;;;
478. ;grande pluie ;°dǔmb ;;;n-dǔb / mìndǔb ; ;n-dǔm / mìndǔm ; ; ; ;n-dǔm ; ;*dùmbɩ́ ; ; ;;;;
479. ;grandir ;°ɡóÌ ;wúū;;ɛ̀-ɥê  ;wê ;è-ɡǿè ;wù ;à-wōè ; ; ; ;*kʊ́d; ; ;;;;
480. ;gratter ;°ɲàKàlà ;ɲàʔàlə̀;nyàlɛ;ɛ̀-ɲàl ; ;è-ɲɛ̀ʔlè ; ;à-ɲàɡɔ̀lɔ̀; ;lè-ɲàʔlò ; ; ; ; ;;;;
481. ;grêle ;°tánɡà ;mà-tándə̀ (bù);le-tánà / matánà;(b̥í) mɛ̀-táɡà / bɛ̀b̥í ɛ́mɛ́táɡà ;mə̀-tánàmwɔ̀ ;è-tánàá / mètánàá ; ; ; ;lè-tánàá ; ; ; ; ;;;;
482. ;grenier ;°(N-)ɡùndà ;ŋ̀-ɡvùndà / màŋɡvùndà;; ;nkùndà ;nkùnà / mènkùnà ; ; ; ;lè-nɡùnà ; ; ; ; ;;;;
483. ;grenouille ;°(a)dɔ̀mbV̀ ;;nkɔ́ngɔ́ / minkɔ́ngɔ́; ;ǎdwàm / bǎdwàm;ádwàm / bàádwàm ; ;ɗɔ̄mbɔ̄; ;á-dwɔ̀m; ; ; ; ;gyeli : aussi lebóndó / mabóndó;;;
484. ;griller ;°bùmbÀ ;bvùbə̀ (~ vóbə̀);; ;bùbɔ̀ ;è-bùbò ; ;à-bùmbɔ̀ ; ;lè-bùbò ; ; ;*bùmb (AH); ;;;;
485. ;grimper ;°ɟò ;ɡùù;;ɛ̀-ɡòò ;ɟò ;è-ɟʊ̀ ;ɡwò ;à-ɡwò ; ;lè-ɟʊ̀ ; ; ; ; ;;;;
486. ;gros, grand ;°bɔ́Kà ;bwàʔ;m-bɔ̀ɔ̀ / mimbɔ̀ɔ̀;ɛ̀-bwà / mɛ̀bwà ;bwâɡ ;bwàʔ / bwàʔ ;ábùwàɡ ;ɓɔ̀ɡáà ;bwaˤ ;bìà ; ; ; ; ;;;;
487. ;grossesse ;°bùmÌ ;(bə̀ nə́) bvùm;;ɛ̀-bùm ; ;è-bùm / mèbùm ;bùm / mə̀bùm;à-bùmì ;(bɛ na) bvum ;lè-bùm; ;*bùmò ; ; ;;;;
488. ;grossir ;°bɔ̀K ;bwɔ̀ɡə̀lə̀;bwà;ɛ̀-bwà ; ;è-bwàʔ ;bwààɡ ; ; ;lè-bwɔ̀ʔ; ; ; ; ;gyeli : avec extension = recip.;;;
489. ;guérisseur ;°(N-)ɡàŋ(à) ;ŋ̀-ɡâŋ / bə̀ŋɡâŋ;ngà̰ngá̰ / bangà̰(ngá̰);g̥àà / bɛ̀g̥àà;nkàŋ / bònkàŋ ;nkàà / ònkàà ;ánkò  / wàánkò  ;nkàŋ ;nɡaŋ / bɔnɡaŋ ;nkàà ;ǹ-kà / bə̀nkà;*ɡànɡà ; ; ;gyeli a également deux tons (comme le swo);;;
490. ;guerre ;°dàmbV̀ ;;;d-ɛ̀b / mɛ̀b;d-ɔ̀mb / mɔ̀mb ;d-ɔ̀m / mɔ̀m ;d-òmb / mòmb ;ɗ-àmbì ; ;dɔ̀m; ; ; ; ;;;;
491. ;hache ;°(N-)ɟÓŋ(Ì) ;zɔ̂ŋ / bə̀zɔ̂ŋ;tṵ́ṵ̀ / betṵ́ṵ̀;zêŋ / mɛ̀zêŋ ;n-cûŋ ;nzǿø̀ / mènzǿø̀ ;zə̂ŋ / mə̀zə̂ŋ;ncɛ̄ɛ̀ŋ; ;nswɩ́ɩ̀;ǹ-sû  / mə̀nsû; ; ; ;;;;
492. ;haïr ;°síŋ(A) ;síə̀;;ʒíŋ ; ; ;ʃə̂ŋ; ; ;lè-síô ;ǹ-só; ; ; ;;;;
493. ;hanche ;°bóKÌ ;;;bôk / mɛ̀bòk ;è-bûɡ / mòbûɡ ;è-bʊ̀ʔ / mèbʊ̀ʔ ;búúɡ / mə̀mpúúɡ;à-ɓōɡì ;bwəˤ / mabwəˤ ; ; ; ; ; ;;;;
494. ;héliosciure de Gambie ;°pɛ́l ;;;pɛ́l / ìpɛ́l; ;pɛ́l / bìpɛ́l; ; ; ;pɛ́l; ;*páde ; ;°-pádé ;;;;
495. ;herbe ;°ka ;ì-kā / bìkā;ká / beká;ì-kà ;ká / bèká ; ;àkándà / wàkándà ; ; ; ; ; ; ; ;;;;
496. ;héritage ;°lìKà ;ì-lə́ɡè / bìlə́ɡè;; ; ;líʔè / bìlíʔè ; ;līɡɔ̀ ; ;líɡô ; ; ; ; ;;;;
497. ;hernie des testicules ;°bjà ;;n-gyà (wá lètɔ́lɛ̀) / mingyà mí mátɔ́lɛ̀;ɛ̀-bjà / mɛ̀bjà ; ; ;bjà / mə̀bjà;à-ɓjà ; ;lè-bwà ; ; ; ; ;;;;
498. ;heurter ;°bòm(I) ;;; ; ; ;bwìm ; ;bum ;lè-bwìm ; ; ;*bʊ̀m (ABCH); ;;;;
499. ;hier ;°kòKó ;ókùʔú;nàkùgúù;kòkó ;kùɡú ;kʊ̌ʔ ; ;kò ;(na) kuɡu ;kʊ̌ʔ ;nà-kúɡú ;*ɡʊ̀dò ; ; ;;;;
500. ;hippopotame ;°(N-)ɟɔ́Kdíbá;ʒwɔ̀ʔmə̀dvwə́ə̀ / bə̀ʒwɔ̀ʔ mə́dvwə́ə̀;;zòdíí / ìzòdíí ;n-cwòɡmə́díbɔ́;nzòʔmèdíbé / ònzòʔ òmédíbé ;ʒwòɡmə̀ɟíwó / òʒwòɡ mə̀ɟíwó; ; ; ; ; ; ;°-jɔ̀ɡù ;;;;
501. ;homme ;°-(ò)dómV̀ ;m-òɾóm / bòɾóm;m-ùdṵ̂ / bùdṵ̂;m-òtôm / bòtôm;m-ùrûm / bùrûm;b-ʊ̀rʊ̂m; ;m-òrōm ; ;m-ʊ̀rʊ̂m;m-ùrú  / bùrú  ;*dʊ́mè; ; ;gyeli suggère une nasale;;;
502. ;homonyme ;°kɔ̀lá ;ì-kùlá / bìkùlá;; ;kwàlá / bèkwàlá ;kɔ̀lá / bìkɔ̀lá ; ; ; ;kɔ̀lá; ; ; ; ;;;;
503. ;honte ;°sɔ́nÌ ;ʃwónə̀;sɔ́nì (G7);sên ;ʃû ;sôn ;ʃwôn / ìʃwôn ;ʃɔ̄nì;swɛn ;sôn ;ʃwə́nì / mə̀ʃwə́nì;*cónì ; ; ;;;;
504. ;hoquet ;°séK(ò) ;ì-zə́zə́ʔ / bìzə́zə́ʔ;síawa;bɛ̀-sêsêk ;sísɔ̂ɡ / mòsísɔ̂ɡ ;nzǿnzø̂ʔ / bìnzǿnzø̂ʔ; ; ; ; ; ; ;*cékʊ̀ (AL) ; ;gyeli : verbe;;;
505. ;houe ;°bàK(ɔ̀) ;ì-bàʔ / bìbàʔ;bàgò / bebàgò ;b̥àk / ìb̥àk ;bɔ̀ɔ̀ɡ / mòmpɔ̀ɔ̀ɡ ;bɔ̀ʔ / mèmpɔ̀ʔ;bòòɡ / ìbòòɡ ; ; ;bàʔ ; ; ;*bàɡò (AJP); ;;;;
506. ;huile ;°múlÀ ;;;mûl / mìmûl ; ;múlò ; ;mbūlɔ̀ ; ;múlô ; ; ; ; ;Possible de faire un cognat avec swo et gyeli;;;
507. ;huit ;°ɔ́mÌ ;;lɔ̀mbì; ;mwôm ;mwòm ; ; ; ;mwòm ;mwàmè  ; ;*jàmbì ? (ABCH); ;;;;
508. ;ici, là 1 ;°wâ ;wà;;wá ;nwà ;wâ (wâʔ) ;wà ;wâ ;wa ;wâ ;ə́-wà; ; ; ;;;;
509. ;ici, là 2 ;°káKÒ ;ká;;pɛ̀-ká ;kóɡ ;kâ (kâʔ) ;ká ;káɡɔ̄ ; ;kâ ;pə́kà; ; ; ;;;;
510. ;ici, là 3 ;°náǎ ;;; ; ;náǎ ;nà ;ná ; ;náǎ ; ; ; ; ;;;;
511. ;igname 1 ;°ɡómV̀ ;ì-ɡúmà (SG);;ɡwôm / ìɡwôm ; ; ;ɡwâm / ìɡwâm ; ; ; ;ɡúmɔ̀ ; ; ; ;;;;
512. ;igname 2 ;°bjàl ;;; ; ;m-bjàl / mìmbjàl ;m-bjàl / mìmbjàl ; ; ;m-bwàl ; ; ; ; ;;;;
513. ;ignorer ;°ɟéKà ;;;ɛ̀-ɟâ ;ɟáɡ ;è-ɟéʔè ;ɟáɡ ;à-ɟēɡɔ̀ ; ;lè-ɟjâʔ ; ; ; ; ;;;;
514. ;île ;°cínɟV ;;; ; ;cíhé / mìcíhé ;ncììnɟè / mə̀ncììnɟè; ; ;cíhó ; ; ; ; ;;;;
515. ;imiter ;°bàŋà ;;;ɛ̀-bàŋàl ; ;è-bàŋà ; ; ; ;lè-bàŋà ; ; ; ; ;;;;
516. ;impôt ;°tɔ́(j)à ;twóyà / bə̀twóyà;; ;tjâ ;tœ́à / bìtœ́à ; ; ;tɔja / bɔtɔja ;tójà ; ; ; ; ;;;;
517. ;infirme, infirmité ;°ɟɛ́mà ;ŋ̀-ɟéŋɟə́mə̀ / mìŋɟéŋɟə́mə̀;;náɟâm / bɛ̀náɟâm ; ;ɟjɛ̂m / bìɟjɛ̂m;ɟám / ìɟám ;à-ɟɛ̄mɔ̀; ;ɟjɛ̂m; ;*démà ; ; ;;;;
518. ;inondation ;°(N-)bèŋ(Ò);;mbḛ̀ / bambḛ̀; ;mpùŋ ;mpɩ̀ɩ̀ / mèmpɩ̀ɩ̀; ;mpēɔ̀ŋ;mbʰiuŋ / bɔmbʰiuŋ ;mpɩ̀ɩ̀; ; ; ; ;;;;
519. ;instrument de musique 1 ;°ɡòmbí ;;;n-ɡɔ̀mbí / minɡɔ̀mbî ; ;nkø̌m / bìnkø̌m ; ; ; ;nkœ̌m ; ; ;*ɡòmbí (ABCH) ; ;;;;
520. ;instrument de musique 2 ;°(N-)bɛ́TV̀ ;;; ;mpêd / bèmpêd ;m-pêr / mìmpêr ; ; ;mbɛrɛ / bɔmbɛrɛ ; ; ;*bɩda ; ; ;;;;
521. ;instrument de musique 3 ;°sànɟV̀;;; ;sànɟà / mèsànɟà ;sànà / bìsànà ; ;sànɟì ; ; ; ; ; ; ;;;;
522. ;insulter ;°lóÌ ;lwíì;lṵ̂;ɛ̀-léè ;lwî ;è-lǿø̀ ;lwì ; ;lɥi ;lè-lwɩ́ɩ̀;lɥì ;*tʊ́k ; ; ;;;;
523. ;interdit, tabou ;°cìÒ ;;tsì / betsì;cì / ìcì ;cì / bòcì ;cì / bìcì ;cì / ìcì ;cìɔ̀ ;tsi ;cì ;tsə̀ ; ; ; ;;;;
524. ;intestin ;°ɟà ;ŋ̀-ɟà / mìŋɟà;n-gyà / mingyà;n-ɟà / mìnɟà ;nɟà / mènɟà ;n-ɟà / mìnɟà ;n-ɟà / mìnɟà ;n-ɟà ;n-ɟa / minɟa ; ;n-ɟà / mìnɟà ;*dà ; ; ;;;;
525. ;jachère ;°bùTì ;;;ɛ̀-bìt / mɛ̀bìt  ; ;è-bùr / mèbùr ; ;bùrì ; ;lè-bùr ; ; ; ; ;;;;
526. ;jalousie ;°ɡú_ ;;;ɛ̀-wú / mɛ̀wú ; ;è-ɡú / mèɡú ;wú / mə̀wú; ;wubaa ;lè-ɡú ; ; ; ; ;;;;
527. ;jeter ;°mìàs ;;mwàsɔ;ɛ̀-mɔ̀s ; ;è-mjàh ; ; ;mia ;lè-mwàh ; ; ; ; ;;;;
528. ;jeune femme ;°sìlà ;;;ʃìlà / mìʃìlà ;ʃìlò ;sìlè / mìsìlè ; ;sìlɔ̀ ; ;sìlò ; ; ; ; ;swo et gyeli même structure;;;
529. ;jeune fille ;°sÍsà ;síyà / bə̀síyà;;ɛ̀-ʃîs / mɛ̀ʃîs ;lè-sə̀s / mə̀sə̀s ;è-séhè / mèséhè ;sás / mə̀sás; ;siɛ / masiɛ ;lè-sjêh ; ; ; ; ;;;;
530. ;jeune homme ;°ɔ́nɟá ;;le-wányɛ̀ / mawányɛ̀;nɡ-wáz / mɛ̀wáz ; ; ;n-ɡwéénʒá / mìnɡwéénʒá ;n-ɡwānɟɔ̄ ;ɥandɛ / maɥandɛ ; ; ; ; ; ;;;;
531. ;jeune mère ;°(a)bíà ;m̀-byáà / bə̀byáà;m-bwàlá / babwàlá;nábjà / bɛ̀nábjà ; ;ábjɛ̀ɛ́ / bàábjɛ̀ɛ́ ;àbjàá / wààbjàá ;áɓjā ; ;á-bwɛ̀ɛ́; ;*bíad ; ; ;swo : 'celle qui accouche' ;;;
532. ;joue ;°múK ;;;ɛ̀-múk / mɛ̀múk ; ;è-múʔ / mèmúʔ ; ; ; ;lè-múʔ ; ; ; ; ;Possible de faire un cognat avec swo et gyeli;;;
533. ;jouer (instrument) ;°bòmà ;bùmà;;ɛ̀-bwòm ; ;è-bòmò ; ; ;bumǎ ;lè-bwòm ; ; ; ; ;;;;
534. ;jouer 1 ;°sá ;;ma-sâ;(ɛ̀-sá) ɛ́-g̥ɔ́ŋ  ;(sá) bé-ɟúŋ ; ; ; ;(sa) masɔŋ ; ;(ʃá) mə́ʃjò; ; ; ;gyeli : nom;;;
535. ;jouer 2 ;°lɛ́K(Ì) ;léè;; ;lêɡ ;è-lê ;lɛ̂ ; ; ; ;; ; ; ;;;;
536. ;jour 1 ;°ób(à) ;dúò / màlù;d-ùwɔ̀ / mùwɔ̀;dwô / ìdwô ;d-wôb / mób ;d-ʊ́ò / mʊ́ò ;ɟ-wôw / mwôw ; ; ;dwôb ;dúə̀ / bìdúə̀;*jʊ́bà ; ; ;gyeli : 'daytime';;;
537. ;jour 2 ;°lû ;lù / màlù;le-fû / mafû;ɛ̀-lû ; ;è-lû / mèlû ; ; ; ;lè-lû ; ; ;*túkʊ̀ (ABCKLR ) ; ;;;;
538. ;journée ;°ɔ́sá ;m̀-móā / mìmóā;músɔ́ / bemúsɔ́; ;mwáz ;móhó / mìmóhó ; ; ; ;mwɔ́hɔ́;múá  ;*jícɩ́ ?  ; ; ;;;;
539. ;juger ;°cíKa ;tsə́ɡə̀;; ;cíɡò ; ; ;à-cɛ́ɡɔ́ (lúbī);tsiəˤ (lab); ; ; ; ; ;;;;
540. ;jumeau ;°ɡwâs ;wáà / màwáà;le-wǎ / mawǎ;ɛ̀-wás / mɛ̀wás ;mwâz / mòmwâz ;è-ɡbâh / mèɡbâh ;wáás / mə̀wáás; ;wua / mawua ;lè-ɡwâh ; ;*pácà ; ; ;;;;
541. ;kaolin blanc ;°pɛ́mba ? ;pə́mbə̀;pɛ́mbɔ́ / bepɛ́mbɔ́;ɛ̀-pjáb / mɛ̀pjáb ;fɛ́m ;è-pɛ́m / mèpɛ́m ;fə́m / ìfə́m; ;pɛmbɛ ; ; ; ;*pémbé (ABCH) ; ;;;;
542. ;laisser ;°bÍTÌ ;bíɾì;;ɛ̀-bít ;bír ;è-bîr ;bə́d;à-ɓjērì ; ;lè-bwɩ̂r; ; ; ; ;;;;
543. ;laisser, rester ;°líKÀ ;lə́ɡə̀;líɛ̀;ɛ-lik ;líɡò ;è-lîʔ ;léɡə̀ ;à-līɡɔ̂ ; ;lè-líɡô ; ;*tíɡ ; ; ;;;;
544. ;lait ;°ɲáŋ(V̀) ;mà-ɲâŋ;ma-nyâ; ;mò-ɲáŋ ;mè-ɲâŋ ; ; ; ;mè-ɲáà ;mə̀-ɲà; ; ; ;;;;
545. ;lampe ;°lámbà (emprunt français);lə́mbà / màlə́mbà;lámbɔ̀ / malámbɔ̀; ; ;è-lámà / mèlámà ;lâmbɛ̀ / mìlâmbɛ̀;lámbá ;lámbɔ̀ / malámbɔ̀ ;lámà ; ; ; ; ;;;;
546. ;lance ;°kɔ̀ŋ(á) ;kwɔ̄ŋ / màkwɔ̄ŋ;le-kwǎ̰ / makwǎ̰;ɛ̀-kɔ̀ɔ́ / mɛ̀kɔ̀ɔ́ ;lè-kwàŋ / mòkwàŋ ;è-kʊ̀á / mèkʊ̀á ; ;à-kɔ̌ŋ;kwǎŋ / makwǎŋ ;lè-kʊ̀á ;kwǒ / mìkwǒ;*ɡònɡá ; ; ;;;;
547. ;langage, parole ;°lùbÍ ;;;líí / ìlíí ; ;lwǐb / bìlwǐb ; ;lùbī ; ;lwǐb ; ; ; ; ;;;;
548. ;langue (organe) ;°ɟémV̀;ì-ɟím / bìɟím;gyímù / begyímù;ɟêm / mìɟêm ;ɟôm / bèɟôm ;ɟɩ̂m / bìɟɩ̂m ;ɟjûm / mə̀ɟjûm;ɟēmì ;ɡim / biɡim ;ɟɩ̂m;ɡímì / bìɡímì ;*dɩ́mì; ; ;;;;
549. ;laver ;°ɟò(j)à ;ʃwìì;sìya;ɛ̀-ɡɥìɟà ;ɟùzà ;è-ɟø̀à;ɡwìjà ;à-ɡwòjà ; ;lè-ɟwɩ̀ɩ̀; ;*jóɡ ; ; ;;;;
550. ;lécher ;°ɡónɟ(Ì) ;;;ɛ̀-ɥîz ; ;è-ɡø̂h; ; ; ;lè-ɡwɩ̂h; ; ; ; ;;;;
551. ;lèpre ;°(N-)ɟǎm ;zàm / bə̀zàm;; ;ncàm ;nzǎm ; ; ; ;nsǎm ; ; ; ; ;;;;
552. ;lézard 1 ;°sóKV̀ ;;; ; ;sóʔò / bìsóʔò ; ;ʃóɡɔ́ ; ;swôʔ ; ; ; ; ;;;;
